model,condition,n_output,raw_len_min,raw_len_mean,raw_len_median,raw_len_max,extracted_len_min,extracted_len_mean,extracted_len_median,extracted_len_max,empty_raw_count,empty_extracted_count,very_short_extracted_count,unclosed_code_fence_count,near_num_predict_char_risk_count,suspicious_case_count
qwen2.5-coder:7b,no_review,10,262,554.4,384.5,1660,249,542.4,369.5,1649,0,0,0,0,0,0
qwen2.5-coder:7b,direct,10,210,539.6,375.0,1658,197,527.6,365.5,1647,0,0,0,0,0,0
qwen2.5-coder:7b,gold_location,10,217,571.7,420.5,1658,204,532.1,369.0,1647,0,0,0,0,0,0
deepseek-coder:6.7b,no_review,10,226,1003.4,1020.0,1900,80,538.4,376.0,1900,0,0,0,1,1,1
deepseek-coder:6.7b,direct,10,242,374.5,368.0,652,235,364.9,352.0,639,0,0,0,0,0,0
deepseek-coder:6.7b,gold_location,10,216,532.4,382.0,1728,216,484.3,335.5,1659,0,0,0,2,0,2
codegemma:7b,no_review,10,263,541.9,349.5,1672,250,529.9,338.0,1661,0,0,0,0,0,0
codegemma:7b,direct,10,176,558.9,424.5,1689,163,546.9,414.0,1678,0,0,0,0,0,0
codegemma:7b,gold_location,10,176,544.1,386.5,1682,163,532.1,374.0,1671,0,0,0,0,0,0
