model,condition,example_id,raw_output_len_chars,extracted_code_len_chars,flags,warning,error
deepseek-coder:6.7b,no_review,crn-002192,1900,1900,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,gold_location,crn-002192,1728,1659,unclosed_code_fence,removed_wrapper_text_or_gold_markers,
deepseek-coder:6.7b,gold_location,crn-008823,216,216,unclosed_code_fence,no_code_fence_used_raw_text,
