model,condition,n_expected,n_output,n_valid,exact_match_line_trim,location_overlap_f1,exact_match_line_trim_pct,location_overlap_f1_pct
qwen2.5-coder:7b,no_review,10,10,10,0.0,0.4602828282828283,0.0,46.028282828282826
qwen2.5-coder:7b,direct,10,10,10,0.1,0.5393939393939393,10.0,53.93939393939393
qwen2.5-coder:7b,gold_location,10,10,10,0.0,0.9133333333333333,0.0,91.33333333333333
deepseek-coder:6.7b,no_review,10,10,10,0.0,0.4386390217969165,0.0,43.86390217969165
deepseek-coder:6.7b,direct,10,10,10,0.0,0.4999365079365079,0.0,49.99365079365079
deepseek-coder:6.7b,gold_location,10,10,10,0.0,0.4808791208791209,0.0,48.08791208791209
codegemma:7b,no_review,10,10,10,0.0,0.7829790209790211,0.0,78.29790209790211
codegemma:7b,direct,10,10,10,0.1,0.6414035087719299,10.0,64.14035087719299
codegemma:7b,gold_location,10,10,10,0.0,0.8670445344129554,0.0,86.70445344129554
