model,condition,n_expected,n_output,n_valid,exact_match_line_trim,location_overlap_f1,exact_match_line_trim_pct,location_overlap_f1_pct
qwen2.5-coder:7b,no_review,10,10,10,0.0,0.4602828282828283,0.0,46.028282828282826
qwen2.5-coder:7b,direct,10,10,10,0.1,0.5393939393939393,10.0,53.93939393939393
qwen2.5-coder:7b,gold_location,10,10,10,0.0,0.9133333333333333,0.0,91.33333333333333
deepseek-coder:6.7b,no_review,10,10,10,0.0,0.4468208399787347,0.0,44.68208399787347
deepseek-coder:6.7b,direct,10,10,10,0.0,0.4999365079365079,0.0,49.99365079365079
deepseek-coder:6.7b,gold_location,10,10,10,0.0,0.48307692307692307,0.0,48.30769230769231
