model,condition,n_expected,n_output,n_valid,exact_match_line_trim,location_overlap_f1,exact_match_line_trim_pct,location_overlap_f1_pct
qwen2.5-coder:7b,no_review,10,10,10,0.0,0.4602828282828283,0.0,46.028282828282826
qwen2.5-coder:7b,direct,10,10,10,0.1,0.5393939393939393,10.0,53.93939393939393
qwen2.5-coder:7b,gold_location,10,10,10,0.0,0.9133333333333333,0.0,91.33333333333333
qwen2.5-coder:3b,no_review,10,10,10,0.0,0.6829668109668109,0.0,68.29668109668108
qwen2.5-coder:3b,direct,10,10,10,0.0,0.6323953823953824,0.0,63.23953823953824
qwen2.5-coder:3b,gold_location,10,10,10,0.0,0.770952380952381,0.0,77.09523809523809
