model,no_review_exact,direct_exact,gold_location_exact,no_review_loc_f1,direct_loc_f1,gold_location_loc_f1,direct_minus_no_review_exact,direct_minus_no_review_loc_f1,gold_location_minus_direct_exact,gold_location_minus_direct_loc_f1
qwen2.5-coder:7b,0.0,0.1,0.0,0.4602828282828283,0.5393939393939393,0.9133333333333333,0.1,0.0791111111111111,-0.1,0.3739393939393939
qwen2.5-coder:3b,0.0,0.0,0.0,0.6829668109668109,0.6323953823953824,0.770952380952381,0.0,-0.050571428571428566,0.0,0.13855699855699857
macro_average,0.0,0.05,0.0,0.5716248196248196,0.5858946608946609,0.8421428571428571,0.05,0.01426984126984127,-0.05,0.2562481962481962
