model,condition,n_expected,n_output,n_valid,exact_match_line_trim,location_overlap_f1,exact_match_line_trim_pct,location_overlap_f1_pct
qwen2.5-coder:7b,no_review,10,10,10,0.0,0.4602828282828283,0.0,46.028282828282826
qwen2.5-coder:7b,direct,10,10,10,0.1,0.43939393939393934,10.0,43.93939393939393
qwen2.5-coder:7b,gold_location,10,10,10,0.0,0.9433333333333334,0.0,94.33333333333334
deepseek-coder:6.7b,no_review,10,10,10,0.0,0.4565986177565125,0.0,45.65986177565125
deepseek-coder:6.7b,direct,10,10,10,0.0,0.4999365079365079,0.0,49.99365079365079
deepseek-coder:6.7b,gold_location,10,10,10,0.0,0.48307692307692307,0.0,48.30769230769231
codegemma:7b,no_review,10,10,10,0.0,0.7763123543123542,0.0,77.63123543123542
codegemma:7b,direct,10,10,10,0.1,0.6414035087719299,10.0,64.14035087719299
codegemma:7b,gold_location,10,10,10,0.0,0.8726000899685109,0.0,87.26000899685108
