id,baseline,language,exact_match,exact_match_trim,exact_match_line_trim,location_overlap_f1,prediction_len_chars,target_len_chars,num_gold_spans,num_gold_changed_old_lines,change_complexity
crn-002192,gold_location,sql,0,0,0,1.0,1647,1652,1,9,large_9plus_lines
crn-006232,gold_location,php,0,0,0,0.5,525,611,2,2,small_2_3_lines
crn-011391,gold_location,go,0,0,0,0.8,502,482,2,2,small_2_3_lines
crn-002686,gold_location,r,0,0,0,1.0,397,404,1,6,medium_4_8_lines
crn-004518,gold_location,java,0,0,0,1.0,401,330,1,1,tiny_1_line
crn-003358,gold_location,scala,0,0,0,1.0,204,205,1,2,small_2_3_lines
crn-008823,gold_location,javascript,0,0,0,1.0,410,339,1,2,small_2_3_lines
crn-006784,gold_location,go,0,0,0,0.9629629629629629,1237,1072,4,14,large_9plus_lines
crn-013905,gold_location,kotlin,0,0,0,0.7,541,295,1,7,medium_4_8_lines
crn-002938,gold_location,perl,0,0,0,0.72,243,189,1,9,large_9plus_lines
crn-000862,gold_location,objective-c,0,0,0,0.46153846153846156,877,752,3,8,medium_4_8_lines
crn-006421,gold_location,ruby,0,0,0,0.5714285714285714,113,116,1,2,small_2_3_lines
crn-000801,gold_location,objective-c,0,0,0,0.9090909090909091,351,188,1,5,medium_4_8_lines
crn-009395,gold_location,c,0,0,0,0.72,296,155,1,9,large_9plus_lines
crn-004543,gold_location,java,0,0,0,0.8235294117647058,479,741,3,7,medium_4_8_lines
crn-006291,gold_location,c,0,0,0,0.6,1219,1245,5,12,large_9plus_lines
crn-000798,gold_location,objective-c,0,0,0,1.0,424,351,1,1,tiny_1_line
crn-011089,gold_location,csharp,0,0,0,1.0,590,489,1,5,medium_4_8_lines
crn-000744,gold_location,swift,0,0,0,1.0,343,373,1,2,small_2_3_lines
crn-001241,gold_location,kotlin,0,0,0,0.2222222222222222,293,305,1,1,tiny_1_line
crn-009360,gold_location,c,0,0,0,0.9333333333333333,595,453,1,7,medium_4_8_lines
crn-005359,gold_location,javascript,0,0,0,0.3333333333333333,392,251,1,5,medium_4_8_lines
crn-002326,gold_location,r,0,0,0,0.46153846153846156,554,529,3,4,medium_4_8_lines
crn-006510,gold_location,cpp,1,1,1,1.0,307,307,1,5,medium_4_8_lines
crn-005332,gold_location,sql,0,0,0,0.8,299,589,1,4,medium_4_8_lines
crn-009549,gold_location,sql,0,0,0,0.8,220,550,2,2,small_2_3_lines
crn-009507,gold_location,cpp,0,0,0,1.0,313,242,1,1,tiny_1_line
