baseline,n,exact_match,exact_match_pct,exact_match_trim,exact_match_trim_pct,exact_match_line_trim,exact_match_line_trim_pct,location_overlap_f1,location_overlap_f1_pct
direct,30,0.1,10.0,0.1,10.0,0.1,10.0,0.5887850918145036,58.878509181450355
gold_location,30,0.03333333333333333,3.3333333333333335,0.03333333333333333,3.3333333333333335,0.03333333333333333,3.3333333333333335,0.8050770333515431,80.50770333515432
no_review,30,0.0,0.0,0.0,0.0,0.0,0.0,0.5594682115270351,55.94682115270351
