model,no_review_exact,direct_exact,gold_location_exact,no_review_loc_f1,direct_loc_f1,gold_location_loc_f1,direct_minus_no_review_exact,direct_minus_no_review_loc_f1,gold_location_minus_direct_exact,gold_location_minus_direct_loc_f1
qwen2.5-coder:7b,0.01,0.09,0.03,0.3951647154259941,0.5525820267481729,0.6712001478083992,0.08,0.1574173113221789,-0.06,0.11861812106022633
deepseek-coder:6.7b,0.0,0.0,0.0,0.3780862403063424,0.4317635609122485,0.47000347896857186,0.0,0.053677320605906055,0.0,0.03823991805632336
codegemma:7b,0.01,0.08,0.03,0.6231669943431403,0.6586584381934076,0.7265844131087336,0.07,0.03549144385026738,-0.05,0.06792597491532583
macro_average,0.006666666666666667,0.056666666666666664,0.02,0.4654726500251589,0.547668008617943,0.6225960132952348,0.05000000000000001,0.08219535859278411,-0.03666666666666667,0.07492800467729184
