model,no_review_exact,direct_exact,gold_location_exact,no_review_loc_f1,direct_loc_f1,gold_location_loc_f1,direct_minus_no_review_exact,direct_minus_no_review_loc_f1,gold_location_minus_direct_exact,gold_location_minus_direct_loc_f1
qwen2.5-coder:7b,0.006260518343991922,0.09060922248401211,0.06664422753281724,0.38065602215383715,0.5314878820777851,0.6974864670468282,0.0843487041400202,0.15083185992394796,-0.023964994951194883,0.16599858496904307
deepseek-coder:6.7b,0.00026926960619320093,0.007135644564119825,0.006193200942443622,0.3454041305650515,0.4071509302669192,0.4518534774614314,0.006866374957926624,0.06174679970186774,-0.0009424436216762033,0.04470254719451219
qwen2.5-coder:32b,0.008078088185796028,0.12083473577919893,0.041804106361494446,0.397097197748009,0.6530348599133433,0.7007105808442183,0.1127566475934029,0.25593766216533437,-0.07903062941770447,0.04767572093087501
macro_average,0.004869292045327051,0.07285986760911028,0.0382138449455851,0.3743857834889659,0.5305578907526826,0.616683508450826,0.06799057556378324,0.1561721072637167,-0.034646022663525185,0.08612561769814342
