model,condition,n_output,unclosed_code_fence_count,unclosed_code_fence_rate,near_generation_cap_count,near_generation_cap_rate,marker_echo_count,marker_echo_rate,wrapper_text_count,wrapper_text_rate,extraction_by_fenced_code_block_count,extraction_by_fenced_code_block_rate,extraction_by_raw_output_count,extraction_by_raw_output_rate,empty_extracted_output_count,empty_extracted_output_rate,suspiciously_long_output_count,suspiciously_long_output_rate,suspiciously_short_output_count,suspiciously_short_output_rate,any_suspicious_output_flag_count,any_suspicious_output_flag_rate
qwen2.5-coder:7b,no_review,14855,29,0.0019522046449007068,2,0.00013463480309660046,0,0.0,2,0.00013463480309660046,14855,1.0,0,0.0,0,0.0,18,0.0012117132278694042,8,0.0005385392123864019,57,0.0038370918882531134
qwen2.5-coder:7b,direct,14855,31,0.0020868394479973073,1,6.731740154830023e-05,0,0.0,2,0.00013463480309660046,14855,1.0,0,0.0,0,0.0,16,0.0010770784247728037,1,6.731740154830023e-05,51,0.003433187478963312
qwen2.5-coder:7b,gold_location,14855,31,0.0020868394479973073,4,0.00026926960619320093,4811,0.32386401884887245,6,0.0004039044092898014,14853,0.9998653651969034,2,0.00013463480309660046,0,0.0,16,0.0010770784247728037,5,0.0003365870077415012,4859,0.32709525412319085
deepseek-coder:6.7b,no_review,14855,242,0.016290811174688658,280,0.018848872433524066,0,0.0,2062,0.13880848199259507,14855,1.0,0,0.0,0,0.0,2508,0.16883204308313698,3,0.0002019522046449007,4211,0.2834735779198923
deepseek-coder:6.7b,direct,14855,123,0.008280040390440929,12,0.0008078088185796028,0,0.0,848,0.0570851565129586,14855,1.0,0,0.0,0,0.0,162,0.010905419050824637,9,0.0006058566139347021,1096,0.07377987209693705
deepseek-coder:6.7b,gold_location,14855,189,0.012722988892628745,2,0.00013463480309660046,2052,0.13813530797711207,925,0.06226859643217772,14831,0.9983843823628408,24,0.0016156176371592056,0,0.0,43,0.00289464826657691,9,0.0006058566139347021,3072,0.2067990575563783
qwen2.5-coder:32b,no_review,14855,3171,0.21346348030966006,3322,0.22362840794345337,0,0.0,5471,0.3682935038707506,14855,1.0,0,0.0,0,0.0,4427,0.29801413665432513,2,0.00013463480309660046,6863,0.4619993268259845
qwen2.5-coder:32b,direct,14855,789,0.05311342982160889,754,0.05075732076741838,0,0.0,2492,0.16775496465836418,14855,1.0,0,0.0,0,0.0,845,0.0568832043083137,3,0.0002019522046449007,2718,0.18296869740828003
qwen2.5-coder:32b,gold_location,14855,159,0.010703466846179737,122,0.008212722988892628,44,0.0029619656681252105,243,0.016358128576236957,14855,1.0,0,0.0,0,0.0,152,0.010232245035341635,6,0.0004039044092898014,394,0.02652305621003029
