model,no_review_exact,direct_exact,gold_location_exact,no_review_loc_f1,direct_loc_f1,gold_location_loc_f1,direct_minus_no_review_exact,direct_minus_no_review_loc_f1,gold_location_minus_direct_exact,gold_location_minus_direct_loc_f1
codegemma:7b,0.0,0.1,0.0,0.7829790209790211,0.6414035087719299,0.8670445344129554,0.1,-0.14157551220709116,-0.1,0.22564102564102564
macro_average,0.0,0.1,0.0,0.7829790209790211,0.6414035087719299,0.8670445344129554,0.1,-0.14157551220709116,-0.1,0.22564102564102564
