model,comparison,metric,paired_n,gain,gain_pct,ci95_low,ci95_high,ci95_low_pct,ci95_high_pct
qwen2.5-coder:7b,direct - no_review,exact_match_line_trim,14855,0.0843487041400202,8.43487041400202,0.07983843823628407,0.0889262874453046,7.9838438236284075,8.89262874453046
qwen2.5-coder:7b,direct - no_review,location_overlap_f1,14855,0.15083185992394796,15.083185992394796,0.14451005370928308,0.1570336398267594,14.451005370928307,15.703363982675942
qwen2.5-coder:7b,gold_location - direct,exact_match_line_trim,14855,-0.023964994951194883,-2.3964994951194885,-0.028948165600807808,-0.018643554358801755,-2.894816560080781,-1.8643554358801755
qwen2.5-coder:7b,gold_location - direct,location_overlap_f1,14855,0.16599858496904307,16.599858496904307,0.15991715581152205,0.17187513557248177,15.991715581152205,17.187513557248177
deepseek-coder:6.7b,direct - no_review,exact_match_line_trim,14855,0.006866374957926624,0.6866374957926624,0.00558734432850892,0.008347357791989229,0.558734432850892,0.834735779198923
deepseek-coder:6.7b,direct - no_review,location_overlap_f1,14855,0.06174679970186774,6.174679970186774,0.05883661302439131,0.06467596446961033,5.8836613024391315,6.467596446961032
deepseek-coder:6.7b,gold_location - direct,exact_match_line_trim,14855,-0.0009424436216762033,-0.09424436216762033,-0.0027600134634803096,0.0006748569505217084,-0.276001346348031,0.06748569505217084
deepseek-coder:6.7b,gold_location - direct,location_overlap_f1,14855,0.04470254719451219,4.470254719451219,0.04137690365308379,0.047974409463389676,4.137690365308379,4.797440946338968
macro_average,direct - no_review,exact_match_line_trim,14855,0.04560753954897341,4.560753954897341,0.04321693032648939,0.04803096600471222,4.321693032648939,4.803096600471222
macro_average,direct - no_review,location_overlap_f1,14855,0.10628932981290785,10.628932981290786,0.10288489573771713,0.10998903156149843,10.288489573771713,10.998903156149844
macro_average,gold_location - direct,exact_match_line_trim,14855,-0.012453719286435544,-1.2453719286435545,-0.015046280713564458,-0.009525412319084483,-1.5046280713564457,-0.9525412319084483
macro_average,gold_location - direct,location_overlap_f1,14855,0.10535056608177763,10.535056608177763,0.10191353046450478,0.10860758743353538,10.191353046450478,10.860758743353538
