model,condition,n_expected,n_output,n_valid,exact_match_line_trim,location_overlap_f1,exact_match_line_trim_pct,location_overlap_f1_pct
qwen2.5-coder:7b,no_review,100,100,100,0.0,0.5025422150777241,0.0,50.254221507772414
qwen2.5-coder:7b,direct,100,100,100,0.07,0.5667187395336604,7.000000000000001,56.67187395336604
qwen2.5-coder:7b,gold_location,100,100,100,0.09,0.747605625519412,9.0,74.7605625519412
deepseek-coder:6.7b,no_review,100,100,100,0.0,0.4800882287071743,0.0,48.00882287071743
deepseek-coder:6.7b,direct,100,100,100,0.02,0.5498386996720918,2.0,54.98386996720917
deepseek-coder:6.7b,gold_location,100,100,100,0.01,0.5581068901331254,1.0,55.81068901331254
codegemma:7b,no_review,100,100,100,0.0,0.6220134466469639,0.0,62.20134466469639
codegemma:7b,direct,100,100,100,0.05,0.6885791278204255,5.0,68.85791278204255
codegemma:7b,gold_location,100,100,100,0.06,0.8044174536099176,6.0,80.44174536099176
