model,no_review_exact,direct_exact,gold_location_exact,no_review_loc_f1,direct_loc_f1,gold_location_loc_f1,direct_minus_no_review_exact,direct_minus_no_review_loc_f1,gold_location_minus_direct_exact,gold_location_minus_direct_loc_f1
qwen2.5-coder:7b,0.0,0.07,0.09,0.5025422150777241,0.5667187395336604,0.747605625519412,0.07,0.06417652445593622,0.02,0.18088688598575162
deepseek-coder:6.7b,0.0,0.02,0.01,0.4800882287071743,0.5498386996720918,0.5581068901331254,0.02,0.06975047096491747,-0.01,0.008268190461033588
codegemma:7b,0.0,0.05,0.06,0.6220134466469639,0.6885791278204255,0.8044174536099176,0.05,0.06656568117346148,0.01,0.11583832578949221
macro_average,0.0,0.04666666666666667,0.05333333333333334,0.5348812968106208,0.6017121890087259,0.7033766564208183,0.04666666666666667,0.06683089219810506,0.006666666666666667,0.10166446741209247
