model,condition,n_expected,n_output,n_valid,exact_match_line_trim,location_overlap_f1,exact_match_line_trim_pct,location_overlap_f1_pct
qwen2.5-coder:7b,no_review,100,123,44,0.022727272727272728,0.4340357855738,2.272727272727273,43.40357855738
qwen2.5-coder:7b,direct,100,198,20,0.1,0.6694430014430014,10.0,66.94430014430014
qwen2.5-coder:7b,gold_location,100,200,45,0.044444444444444446,0.831670354337021,4.444444444444445,83.1670354337021
deepseek-coder:6.7b,no_review,100,199,199,0.0,0.552973806785694,0.0,55.2973806785694
deepseek-coder:6.7b,direct,100,164,164,0.012195121951219513,0.5361639691933188,1.2195121951219512,53.616396919331876
deepseek-coder:6.7b,gold_location,100,100,100,0.0,0.567795734093329,0.0,56.7795734093329
codegemma:7b,no_review,100,100,100,0.0,0.46176703938918195,0.0,46.176703938918195
codegemma:7b,direct,100,100,100,0.0,0.4609416425637851,0.0,46.09416425637851
codegemma:7b,gold_location,100,100,100,0.0,0.46135189897404155,0.0,46.13518989740415
