model,no_review_exact,direct_exact,gold_location_exact,no_review_loc_f1,direct_loc_f1,gold_location_loc_f1,direct_minus_no_review_exact,direct_minus_no_review_loc_f1,gold_location_minus_direct_exact,gold_location_minus_direct_loc_f1
qwen2.5-coder:7b,0.022727272727272728,0.1,0.044444444444444446,0.4340357855738,0.6694430014430014,0.831670354337021,0.0,-0.01572039072039072,0.0,0.3531746031746032
deepseek-coder:6.7b,0.0,0.012195121951219513,0.0,0.552973806785694,0.5361639691933188,0.567795734093329,0.01,-0.023536751623861055,-0.01,0.03830902603659459
codegemma:7b,0.0,0.0,0.0,0.46176703938918195,0.4609416425637851,0.46135189897404155,0.0,-0.0008253968253968253,0.0,0.00041025641025641045
macro_average,0.007575757575757576,0.03739837398373984,0.014814814814814815,0.4829255439162253,0.5555162044000351,0.6202726624681305,0.0033333333333333335,-0.013360846389882866,-0.0033333333333333335,0.13063129520715142
